Order ID,Product,Order Total,Shipping,Order Date,Order Time,City,State,Region
176558,USB-C Charging Cable,23.9,9.99,04/19/19,08:46, Dallas,TX,South
176559,Bose SoundSport Headphones,99.99,9.99,04/07/19,22:30, Boston,MA,Northeast
176560,Google Phone,600,9.99,04/12/19,14:38, Los Angeles,CA,West
176561,Wired Headphones,11.99,9.99,04/12/19,14:38, Los Angeles,CA,West
176562,Wired Headphones,11.99,9.99,04/30/19,09:27, Los Angeles,CA,West
176563,USB-C Charging Cable,11.95,9.99,04/29/19,13:03, San Francisco,CA,West
176564,Bose SoundSport Headphones,99.99,9.99,04/02/19,07:46, Seattle,WA,West
176565,USB-C Charging Cable,11.95,9.99,04/12/19,10:58, Atlanta,GA,South
176566,Macbook Pro Laptop,1700,9.99,04/24/19,10:38, San Francisco,CA,West
176567,Wired Headphones,11.99,9.99,04/08/19,14:05, Boston,MA,Northeast
176568,Google Phone,600,9.99,04/18/19,17:18, Los Angeles,CA,West
176569,Lightning Charging Cable,14.95,9.99,04/15/19,12:18, Seattle,WA,West
176570,27in 4K Gaming Monitor,389.99,9.99,04/16/19,19:23, Dallas,TX,South
176571,AA Batteries (4-pack),3.84,9.99,04/22/19,15:09, Dallas,TX,South
176572,Lightning Charging Cable,14.95,9.99,04/19/19,14:29, Atlanta,GA,South
176573,Apple Airpods Headphones,150,9.99,04/04/19,20:30, New York City,NY,Northeast
176574,USB-C Charging Cable,11.95,9.99,04/27/19,18:41, San Francisco,CA,West
176575,Google Phone,600,9.99,04/03/19,19:42, Los Angeles,CA,West
176576,USB-C Charging Cable,11.95,9.99,04/03/19,19:42, Los Angeles,CA,West
176577,AAA Batteries (4-pack),2.99,9.99,04/27/19,00:30, New York City,NY,Northeast
176578,Apple Airpods Headphones,150,9.99,04/28/19,11:42, Los Angeles,CA,West
176579,Apple Airpods Headphones,150,9.99,04/04/19,19:25, Dallas,TX,South
176580,Apple Airpods Headphones,150,9.99,04/09/19,23:35, Boston,MA,Northeast
176581,AA Batteries (4-pack),3.84,9.99,04/11/19,10:23, New York City,NY,Northeast
176582,USB-C Charging Cable,11.95,9.99,04/05/19,00:35, Los Angeles,CA,West
176583,iPhone,700,9.99,04/09/19,21:38, Boston,MA,Northeast
176584,Bose SoundSport Headphones,99.99,9.99,04/27/19,12:20, Atlanta,GA,South
176585,AAA Batteries (4-pack),5.98,9.99,04/20/19,12:00, Portland,OR,West
176586,Flatscreen TV,300,9.99,04/24/19,20:39, San Francisco,CA,West
176587,Bose SoundSport Headphones,99.99,9.99,04/07/19,11:31, Boston,MA,Northeast
176588,Bose SoundSport Headphones,99.99,9.99,04/07/19,11:31, Boston,MA,Northeast
176589,AAA Batteries (4-pack),5.98,9.99,04/10/19,17:00, San Francisco,CA,West
176590,Google Phone,600,9.99,04/10/19,17:00, San Francisco,CA,West
176591,27in FHD Monitor,149.99,9.99,04/29/19,19:38, Los Angeles,CA,West
176592,20in Monitor,109.99,9.99,04/02/19,04:00, Seattle,WA,West
176593,Lightning Charging Cable,14.95,9.99,04/04/19,12:23, Atlanta,GA,South
176594,Google Phone,600,9.99,04/11/19,11:46, New York City,NY,Northeast
176595,Apple Airpods Headphones,150,9.99,04/21/19,07:21, Austin,TX,South
176596,USB-C Charging Cable,11.95,9.99,04/27/19,13:04, Los Angeles,CA,West
176597,Lightning Charging Cable,29.9,9.99,04/15/19,13:45, Portland,OR,West
176598,Wired Headphones,11.99,9.99,04/17/19,23:04, San Francisco,CA,West
176599,Wired Headphones,35.97,9.99,04/02/19,09:11, Los Angeles,CA,West
176600,Apple Airpods Headphones,150,9.99,04/27/19,20:11, Dallas,TX,South
176601,USB-C Charging Cable,11.95,9.99,04/19/19,13:39, San Francisco,CA,West
176602,AAA Batteries (4-pack),5.98,9.99,04/21/19,20:33, San Francisco,CA,West
176603,Lightning Charging Cable,14.95,9.99,04/11/19,15:25, New York City,NY,Northeast
176604,27in 4K Gaming Monitor,389.99,9.99,04/30/19,15:54, Boston,MA,Northeast
176605,USB-C Charging Cable,11.95,9.99,04/02/19,22:32, Los Angeles,CA,West
176606,Lightning Charging Cable,14.95,9.99,04/30/19,09:39, Dallas,TX,South
176607,USB-C Charging Cable,11.95,9.99,04/01/19,07:46, San Francisco,CA,West
176608,USB-C Charging Cable,11.95,9.99,04/02/19,10:57, San Francisco,CA,West
176609,USB-C Charging Cable,11.95,9.99,04/15/19,16:29, San Francisco,CA,West
176610,LG Dryer,600,9.99,04/21/19,14:16, San Francisco,CA,West
176611,AAA Batteries (4-pack),5.98,9.99,04/18/19,12:11, Boston,MA,Northeast
176612,iPhone,700,9.99,04/11/19,12:01, San Francisco,CA,West
176613,Apple Airpods Headphones,150,9.99,04/11/19,16:59, Austin,TX,South
176614,AAA Batteries (4-pack),2.99,9.99,04/26/19,00:40, Dallas,TX,South
176615,Bose SoundSport Headphones,99.99,9.99,04/30/19,13:16, San Francisco,CA,West
176616,Apple Airpods Headphones,150,9.99,04/04/19,19:48, Seattle,WA,West
176617,USB-C Charging Cable,23.9,9.99,04/26/19,18:58, New York City,NY,Northeast
176618,AA Batteries (4-pack),3.84,9.99,04/07/19,21:01, San Francisco,CA,West
176619,Lightning Charging Cable,14.95,9.99,04/30/19,10:35, Dallas,TX,South
176620,USB-C Charging Cable,11.95,9.99,04/05/19,20:40, San Francisco,CA,West
176621,Apple Airpods Headphones,150,9.99,04/25/19,08:03, Portland,OR,West
176622,Lightning Charging Cable,29.9,9.99,04/18/19,21:44, San Francisco,CA,West
176623,Flatscreen TV,300,9.99,04/16/19,18:37, Los Angeles,CA,West
176624,USB-C Charging Cable,11.95,9.99,04/17/19,10:39, Los Angeles,CA,West
176625,Lightning Charging Cable,14.95,9.99,04/11/19,16:09, Boston,MA,Northeast
176626,AA Batteries (4-pack),3.84,9.99,04/11/19,20:16, San Francisco,CA,West
176627,27in FHD Monitor,149.99,9.99,04/20/19,23:51, Atlanta,GA,South
176628,AA Batteries (4-pack),3.84,9.99,04/28/19,10:44, Seattle,WA,West
176629,AAA Batteries (4-pack),5.98,9.99,04/24/19,19:00, San Francisco,CA,West
176630,Bose SoundSport Headphones,99.99,9.99,04/01/19,21:40, Boston,MA,Northeast
176631,Wired Headphones,11.99,9.99,04/21/19,14:57, Atlanta,GA,South
176632,Lightning Charging Cable,29.9,9.99,04/15/19,04:03, Dallas,TX,South
176633,USB-C Charging Cable,11.95,9.99,04/24/19,11:56, San Francisco,CA,West
176634,Google Phone,600,9.99,04/10/19,05:01, San Francisco,CA,West
176635,USB-C Charging Cable,11.95,9.99,04/13/19,18:48, San Francisco,CA,West
176636,AAA Batteries (4-pack),2.99,9.99,04/14/19,14:28, San Francisco,CA,West
176637,ThinkPad Laptop,999.99,9.99,04/23/19,14:03, Los Angeles,CA,West
176638,Lightning Charging Cable,14.95,9.99,04/10/19,08:00, Atlanta,GA,South
176639,Vareebadd Phone,400,9.99,04/26/19,09:55, San Francisco,CA,West
176640,AA Batteries (4-pack),3.84,9.99,04/30/19,20:37, Boston,MA,Northeast
176641,AAA Batteries (4-pack),2.99,9.99,04/17/19,10:03, New York City,NY,Northeast
176642,USB-C Charging Cable,11.95,9.99,04/20/19,08:33, Boston,MA,Northeast
176643,Macbook Pro Laptop,1700,9.99,04/28/19,16:14, San Francisco,CA,West
176644,Wired Headphones,23.98,9.99,04/27/19,22:54, San Francisco,CA,West
176645,Lightning Charging Cable,14.95,9.99,04/25/19,21:36, Boston,MA,Northeast
176646,AA Batteries (4-pack),3.84,9.99,04/17/19,18:38, Portland,OR,West
176647,Macbook Pro Laptop,1700,9.99,04/27/19,21:32, Boston,MA,Northeast
176648,USB-C Charging Cable,11.95,9.99,04/23/19,02:09, Los Angeles,CA,West
176649,AAA Batteries (4-pack),8.97,9.99,04/26/19,18:38, Dallas,TX,South
176650,Macbook Pro Laptop,1700,9.99,04/22/19,07:14, Portland,OR,West
176651,Google Phone,600,9.99,04/21/19,19:40, Los Angeles,CA,West
176652,27in FHD Monitor,149.99,9.99,04/24/19,01:17, Portland,OR,West
176653,USB-C Charging Cable,11.95,9.99,04/09/19,08:49, San Francisco,CA,West
176654,Lightning Charging Cable,14.95,9.99,04/12/19,16:47, Boston,MA,Northeast
176655,iPhone,700,9.99,04/07/19,13:14, Boston,MA,Northeast
176656,LG Washing Machine,600,9.99,04/09/19,20:04, New York City,NY,Northeast
176657,AA Batteries (4-pack),3.84,9.99,04/26/19,19:20, San Francisco,CA,West
176658,USB-C Charging Cable,11.95,9.99,04/15/19,19:35, Seattle,WA,West
176659,Apple Airpods Headphones,150,9.99,04/11/19,19:36, San Francisco,CA,West
176660,Google Phone,600,9.99,04/12/19,16:42, New York City,NY,Northeast
176661,ThinkPad Laptop,999.99,9.99,04/23/19,10:16, Los Angeles,CA,West
176662,AAA Batteries (4-pack),5.98,9.99,04/22/19,08:51, San Francisco,CA,West
176663,20in Monitor,109.99,9.99,04/29/19,14:40, Dallas,TX,South
176664,AA Batteries (4-pack),3.84,9.99,04/16/19,17:10, Boston,MA,Northeast
176665,Wired Headphones,11.99,9.99,04/25/19,20:40, Atlanta,GA,South
176666,34in Ultrawide Monitor,379.99,9.99,04/05/19,12:46, Portland,OR,West
176667,Bose SoundSport Headphones,99.99,9.99,04/05/19,11:48, Seattle,WA,West
176668,AAA Batteries (4-pack),2.99,9.99,04/13/19,18:59, Los Angeles,CA,West
176669,ThinkPad Laptop,999.99,9.99,04/07/19,14:15, Dallas,TX,South
176670,Wired Headphones,11.99,9.99,04/08/19,16:50, Seattle,WA,West
176671,27in 4K Gaming Monitor,389.99,9.99,04/11/19,00:39, Los Angeles,CA,West
176672,AA Batteries (4-pack),3.84,9.99,04/15/19,20:46, Dallas,TX,South
176673,27in FHD Monitor,149.99,9.99,04/08/19,12:57, Dallas,TX,South
176674,Apple Airpods Headphones,150,9.99,04/25/19,21:23, San Francisco,CA,West
176675,AAA Batteries (4-pack),5.98,9.99,04/23/19,16:31, New York City,NY,Northeast
176676,Lightning Charging Cable,14.95,9.99,04/12/19,11:07, New York City,NY,Northeast
176677,USB-C Charging Cable,11.95,9.99,04/12/19,11:07, New York City,NY,Northeast
176678,20in Monitor,109.99,9.99,04/10/19,08:17, Boston,MA,Northeast
176679,AAA Batteries (4-pack),8.97,9.99,04/20/19,20:53, Austin,TX,South
176680,AAA Batteries (4-pack),2.99,9.99,04/02/19,09:02, Seattle,WA,West
176681,LG Dryer,600,9.99,04/09/19,00:35, Los Angeles,CA,West
176682,34in Ultrawide Monitor,379.99,9.99,04/01/19,11:50, Austin,TX,South
176683,AA Batteries (4-pack),7.68,9.99,04/19/19,22:12, San Francisco,CA,West
176684,Apple Airpods Headphones,150,9.99,04/16/19,11:12, Boston,MA,Northeast
176685,USB-C Charging Cable,11.95,9.99,04/13/19,11:28, Los Angeles,CA,West
176686,Apple Airpods Headphones,150,9.99,04/20/19,10:39, Seattle,WA,West
176687,ThinkPad Laptop,999.99,9.99,04/20/19,10:39, Seattle,WA,West
176688,Lightning Charging Cable,14.95,9.99,04/27/19,06:19, Boston,MA,Northeast
176689,AA Batteries (4-pack),3.84,9.99,04/03/19,13:54, Los Angeles,CA,West
176690,USB-C Charging Cable,11.95,9.99,04/17/19,00:51, Los Angeles,CA,West
176691,34in Ultrawide Monitor,379.99,9.99,04/23/19,22:53, New York City,NY,Northeast
176692,Wired Headphones,11.99,9.99,04/17/19,15:17, Austin,TX,South
176693,Macbook Pro Laptop,1700,9.99,04/30/19,10:26, Los Angeles,CA,West
176694,Flatscreen TV,300,9.99,04/20/19,18:25, San Francisco,CA,West
176695,Bose SoundSport Headphones,99.99,9.99,04/24/19,17:15, New York City,NY,Northeast
